Section	Final order	English gloss	Orthographic	Phonemic	Phonetic	Sound file name
Consonants	1	to_sew	pam	pám	pʰã́m	001-to_sew.wav
	2	to_embrace	bam	bám	bã́m	002-to_embrace.wav
	3	ugly	tan	tán	tʰã́ɪ̃̀	003-ugly.wav
	4	house	dan	dán	dã́ɪ̃̀	004-house.wav
	5	bite		ká		005-bite.wav
	6	dye		kʷá		006-dye.wav
	7	sow	gu	ɡú		007-sow.wav
	8	gamble	kyakya		t͡ɕát͡ɕá	008-gamble.wav
	9	lion	gyata		d͡ʑàtá	009-lion.wav
	10	cut	twa	tɕɥá		010-cut.wav
	11	peel	dwa	dʑɥá	dʑ̥ɥá	011-peel.wav
	12	take	fa	fá		012-take.wav
	13	dance	sa	sá		013-dance.wav
	14	to_beat	hwe	ɕɥɪ́		014-to_beat.wav
	15	here	ha	há		015-here.wav
	16	to_give	ma	má		016-to_give.wav
	17	meat	nam	nám	nã́m	017-meat.wav
	18	grow	nyini	ɲíní		018-grow.wav
	19	hair	nwini	ɲɥíní		019-hair.wav
	20	cough	wa	wá		020-cough.wav
	21	grind	yam	jám		021-grind.wav
	22	tax	lampoo	làmpʰóː	làmpóː	022-tax.wav
	23	covenant	apam	àpám	àpʰã́m	023-covenant.wav
	24	government	aban	àbán	àbã́ɪ̀	024-government.wav
	25	pot_ladle	ɛta	ɛ̀tá	ɛ̀tʰá	025-pot_ladle.wav
	26	a_day	ɛda	ɛ̀dá		026-a_day.wav
	27	boiled_but_unpeeled_cocoyam	akaw	àkáw	àkʰáw	027-boiled_but_unpeeled_cocoyam.wav
	28	welcome	akwaaba		àkʷáːbà	028-welcome.wav
	29	players	agofoɔ	àɡʊ́fʊ̀ɔ́		029-players.wav
	30	gamble	kyakya	t͡ɕát͡ɕá		030-gamble.wav
	31	fire	egya	èd͡ʑá		031-fire.wav
	32	bridge	etwe	ɛ̀t͡ɕɥɪ̃́ː		032-bridge.wav
	33	grey_hair	edwe	ɛ̀d͡ʑɥɪ̃́ː		033-grey_hair.wav
	34	year	afe	àfɪ́		034-year.wav
	35	under	ase	àsɪ́		035-under.wav
	36	mirror	ahwehwɛ	àɕɥɪ́ɕɥɛ́		036-mirror.wav
	37	how_much	ahe	àhɪ̃́		037-how_much.wav
	38	herring	amane	ámànɪ́	ámã̀nɪ̃́	038-herring.wav
	39	name_of_a_person	anane	ánànɪ́	ánã̀nɪ̃́	039-name_of_a_person.wav
	40	electricity	anyinam	àɲínàm	æ̀ɲĩ́nã̀m	040-electricity.wav
	41	grumblings	anwiinwii	àɲɥíːɲɥíː	æ̀ɲɥĩ́ːɲɥíː	041-grumblings.wav
	42	shyness	fɛreɛ	fɛ́rɪ̀ɛ́		042-shyness.wav
